Phase,Stage,Row type,To-do (one small step),How to test it works,Done
006 Auth,QA,QA sign-off,Two different organisations cannot see each other's data,Sign in as two orgs and confirm isolation,
007 Frontend App,1,Step,Scaffold the frontend/ app and its build config,The app builds and runs,
007 Frontend App,2,Step,Build the Register and Login pages,Both pages render,
007 Frontend App,3,Step,Wire the pages to the /api/v1/ auth endpoints store the login token and handle logged-in vs logged-out,Register a new org+user in the browser log in and see the authed screen,
007 Frontend App,4,Step,Add a minimal authed landing screen showing the organisation,The landing shows the org name and a button to start a prep run,
007 Frontend App,QA,QA sign-off,Register a brand-new org + user in the browser log in and see the authed screen,Do the full register->login flow in the browser,
007 Frontend App,QA,QA sign-off,Refreshing the page keeps you logged in,Refresh and confirm you stay signed in,
007 Frontend App,QA,QA sign-off,Logging out sends you back to the login screen,Click logout and confirm,
008 Security,1,Step,Choose and install the security skills then run their checks and fix to green,The security skill checks are green,
008 Security,2,Step,Build the PII map and apply org/role access control transit encryption and log/response minimisation,PII access is provably scoped by organisation and role,
008 Security,3,Step,Audit secrets handling and prove no key reaches the client (bundle response or log),No secret or AI key appears in any client bundle API response or log,
008 Security,4,Step,Book and complete the human expert review and record the sign-off,A named human expert has reviewed and signed off in PROGRESS.md,
008 Security,QA,QA sign-off,Security skill checks are green,Run the security checks,
008 Security,QA,QA sign-off,No secret or AI key appears in any client bundle API response or log,Scan the bundle responses and logs,
008 Security,QA,QA sign-off,PII access is provably scoped by organisation and role,Attempt cross-org/role access and confirm it is blocked,
008 Security,QA,QA sign-off,A named human expert has reviewed and signed off (recorded in PROGRESS.md),Check the sign-off entry in PROGRESS.md,
